Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TankLearning,0.305,1210.196,2.928,2272,7.015
TankLearning,0.577,1216.324,5.460,4128,nan
TankLearning,0.346,1219.636,2.923,2271,5.982
TankLearning,0.587,1225.789,5.494,4128,nan
TankLearning,0.315,1229.057,2.906,2272,6.135
TankLearning,0.597,1235.270,5.539,4128,nan
TankLearning,0.328,1238.596,2.948,2272,6.023
TankLearning,0.587,1244.818,5.560,4128,nan
TankLearning,0.320,1248.153,2.971,2272,6.447
TankLearning,0.589,1254.375,5.552,4128,nan
TankLearning,0.313,1257.714,2.986,2272,7.096
TankLearning,0.590,1263.962,5.571,4128,nan
TankLearning,0.312,1267.354,3.033,2272,6.215
TankLearning,0.590,1273.967,5.957,4128,nan
TankLearning,0.308,1277.273,2.949,2272,6.037
TankLearning,0.585,1283.524,5.594,4128,nan
TankLearning,0.314,1286.829,2.966,2272,6.926
TankLearning,0.586,1293.031,5.536,4128,nan
TankLearning,0.315,1296.379,2.985,2271,5.625
TankLearning,0.594,1302.664,5.609,4120,1.509
TankLearning,0.313,1306.000,2.979,2279,6.499
TankLearning,0.587,1312.315,5.655,4128,nan
TankLearning,0.312,1315.583,2.903,2272,6.999
TankLearning,0.590,1321.902,5.659,4128,nan
TankLearning,0.322,1325.220,2.955,2272,6.053
TankLearning,0.590,1332.163,6.278,4128,nan
TankLearning,0.315,1335.493,2.967,2272,6.836
TankLearning,0.584,1341.771,5.612,4128,nan
TankLearning,0.313,1345.111,2.985,2271,6.526
TankLearning,0.585,1351.372,5.592,4128,nan
TankLearning,0.317,1354.731,2.999,2272,6.706
TankLearning,0.592,1361.016,5.615,4128,nan
TankLearning,0.314,1364.361,2.986,2272,6.804
TankLearning,0.592,1370.649,5.615,4128,nan
TankLearning,0.315,1373.986,2.973,2272,6.457
TankLearning,0.602,1380.290,5.639,4128,nan
TankLearning,0.315,1383.614,2.981,2272,6.522
TankLearning,0.592,1389.977,5.696,4128,nan
TankLearning,0.311,1393.362,3.034,2272,5.795
TankLearning,0.592,1399.703,5.669,4128,nan
TankLearning,0.314,1403.063,3.001,2272,6.350
TankLearning,0.593,1409.445,5.720,4128,nan
TankLearning,0.312,1412.776,2.974,2272,6.404
TankLearning,0.584,1419.535,6.097,4128,nan
TankLearning,0.315,1422.923,3.035,2271,6.132
TankLearning,0.591,1429.301,5.711,4128,nan
TankLearning,0.313,1432.766,3.109,2271,5.607
TankLearning,0.582,1439.157,5.736,4128,nan
TankLearning,0.311,1442.619,3.107,2271,6.203
TankLearning,0.589,1448.991,5.703,4128,nan
TankLearning,0.313,1452.514,3.175,2272,6.514
TankLearning,0.591,1459.753,6.570,4128,nan
TankLearning,0.341,1463.523,3.386,2271,6.771
TankLearning,0.583,1469.815,5.624,4128,nan
TankLearning,0.308,1473.567,3.403,2272,6.261
TankLearning,0.587,1479.689,5.468,4128,nan
TankLearning,0.314,1483.311,3.276,2272,6.862
TankLearning,0.574,1489.442,5.471,4004,-2.456
TankLearning,0.329,1493.136,3.322,2395,6.739
TankLearning,0.584,1499.267,5.462,4128,nan
TankLearning,0.314,1502.984,3.354,2272,6.687
TankLearning,0.594,1509.135,5.481,4128,nan
TankLearning,0.306,1512.835,3.348,2272,6.279
TankLearning,0.591,1518.990,5.499,4128,nan
TankLearning,0.314,1522.619,3.276,2272,5.967
TankLearning,0.592,1528.788,5.489,4128,nan
TankLearning,0.313,1532.459,3.317,2272,6.925
TankLearning,0.586,1538.656,5.534,4128,nan
TankLearning,0.316,1542.363,3.345,2271,6.116
TankLearning,0.593,1548.927,5.891,4128,nan
TankLearning,0.313,1552.623,3.335,2272,6.419
TankLearning,0.593,1558.798,5.509,4128,nan
TankLearning,0.315,1562.514,3.354,2272,6.188
TankLearning,0.591,1568.673,5.478,4128,nan
TankLearning,0.316,1572.338,3.305,2272,5.949
TankLearning,0.583,1578.498,5.504,4128,nan
TankLearning,0.312,1582.180,3.344,2272,6.573
TankLearning,0.589,1588.424,5.579,4128,nan
TankLearning,0.311,1592.185,3.407,2272,6.592
TankLearning,0.592,1598.392,5.536,4128,nan
TankLearning,0.315,1602.137,3.380,2272,6.350
TankLearning,0.586,1608.341,5.534,4128,nan
TankLearning,0.314,1612.165,3.474,2271,6.389
TankLearning,0.584,1618.399,5.565,4128,nan
TankLearning,0.317,1622.161,3.397,2272,6.588
TankLearning,0.587,1628.435,5.615,4128,nan
TankLearning,0.325,1632.217,3.411,2272,6.934
TankLearning,0.584,1639.126,6.253,4128,nan
TankLearning,0.363,1643.111,3.575,2271,6.339
TankLearning,0.586,1649.436,5.653,4128,nan
TankLearning,0.312,1653.207,3.419,2272,6.609
TankLearning,0.584,1659.452,5.585,4128,nan
TankLearning,0.314,1663.288,3.484,2272,7.949
TankLearning,0.595,1669.574,5.611,4113,0.297
TankLearning,0.311,1673.436,3.506,2286,7.292
TankLearning,0.584,1679.959,5.879,4128,nan
TankLearning,0.313,1683.492,3.191,2272,6.552
TankLearning,0.586,1690.059,5.905,4128,nan
TankLearning,0.314,1693.555,3.143,2272,5.877
TankLearning,0.596,1700.092,5.865,4128,nan
TankLearning,0.313,1703.686,3.238,2272,7.161
TankLearning,0.584,1710.241,5.904,4128,0.360
TankLearning,0.311,1713.806,3.216,2271,5.981
TankLearning,0.590,1720.378,5.905,4128,nan
TankLearning,0.312,1723.926,3.196,2272,6.342
TankLearning,0.593,1730.530,5.933,4128,nan
TankLearning,0.318,1734.116,3.225,2272,7.000
TankLearning,0.591,1740.717,5.925,4128,nan
TankLearning,0.313,1744.278,3.211,2272,6.338
TankLearning,0.592,1750.932,5.978,4128,nan
TankLearning,0.314,1754.542,3.253,2272,6.549
TankLearning,0.597,1761.188,5.960,4128,nan
TankLearning,0.316,1764.789,3.242,2271,6.530
TankLearning,0.598,1771.459,5.988,4128,nan
TankLearning,0.316,1775.052,3.234,2272,6.352
TankLearning,0.588,1781.659,5.962,4128,nan
TankLearning,0.313,1785.188,3.179,2272,6.547
TankLearning,0.592,1791.848,5.988,4128,nan
TankLearning,0.317,1795.471,3.257,2271,6.617
TankLearning,0.589,1802.202,6.057,4128,nan
TankLearning,0.314,1805.756,3.194,2272,6.611
TankLearning,0.583,1812.450,6.034,4128,nan
TankLearning,0.312,1816.049,3.246,2272,6.341
TankLearning,0.584,1822.999,6.288,4128,nan
TankLearning,0.312,1826.590,3.231,2272,6.539
TankLearning,0.583,1833.385,6.134,4128,0.974
TankLearning,0.315,1836.973,3.229,2271,7.056
TankLearning,0.590,1844.816,7.178,4128,nan
TankLearning,0.315,1848.438,3.255,2271,7.025
TankLearning,0.585,1855.231,6.130,4128,nan
TankLearning,0.323,1858.930,3.332,2271,6.512
TankLearning,0.578,1865.735,6.156,4128,nan
TankLearning,0.307,1869.348,3.270,2272,7.071
TankLearning,0.586,1876.104,6.090,4128,nan
TankLearning,0.315,1879.736,3.262,2272,7.135
TankLearning,0.589,1886.470,6.074,4128,nan
TankLearning,0.312,1890.055,3.237,2272,7.161
TankLearning,0.586,1896.797,6.075,4128,nan
TankLearning,0.314,1900.415,3.268,2272,6.190
TankLearning,0.590,1907.203,6.123,4128,nan
TankLearning,0.314,1910.803,3.251,2272,6.943
TankLearning,0.597,1917.632,6.164,4128,nan
TankLearning,0.315,1921.209,3.228,2272,7.050
TankLearning,0.593,1928.024,6.143,4128,nan
TankLearning,0.317,1931.647,3.258,2272,6.775
TankLearning,0.589,1938.517,6.203,4112,-0.994
TankLearning,0.315,1942.136,3.260,2286,5.820
TankLearning,0.589,1949.245,6.441,4128,nan
TankLearning,0.313,1952.842,3.242,2272,6.578
TankLearning,0.588,1959.637,6.122,4128,nan
TankLearning,0.307,1963.278,3.282,2272,7.747
TankLearning,0.581,1970.142,6.204,4112,1.784
TankLearning,0.314,1973.688,3.189,2287,6.872
TankLearning,0.592,1980.537,6.176,4128,nan
TankLearning,0.314,1984.147,3.241,2271,7.310
TankLearning,0.584,1991.033,6.227,4128,nan
TankLearning,0.313,1994.612,3.222,2272,7.105
TankLearning,0.588,2001.441,6.162,4128,nan
TankLearning,0.314,2005.033,3.236,2272,7.074
TankLearning,0.620,2011.937,6.198,4128,nan
TankLearning,0.319,2015.573,3.271,2272,6.653
TankLearning,0.586,2022.429,6.198,4128,nan
TankLearning,0.312,2026.002,3.224,2272,7.249
TankLearning,0.581,2032.851,6.189,4128,nan
TankLearning,0.316,2036.491,3.280,2272,7.376
TankLearning,0.594,2043.470,6.309,4128,nan
TankLearning,0.314,2047.041,3.222,2272,7.108
TankLearning,0.587,2054.022,6.320,4110,0.199
TankLearning,0.314,2057.643,3.258,2289,6.766
TankLearning,0.589,2064.548,6.232,4128,nan
TankLearning,0.314,2068.140,3.232,2272,6.750
TankLearning,0.590,2075.091,6.286,4128,nan
TankLearning,0.311,2078.662,3.217,2272,6.908
TankLearning,0.595,2085.613,6.276,4128,nan
TankLearning,0.310,2089.297,3.329,2272,6.421
TankLearning,0.592,2096.779,6.816,4128,nan
TankLearning,0.314,2100.391,3.254,2272,7.384
TankLearning,0.588,2107.407,6.344,4128,nan
TankLearning,0.313,2111.081,3.327,2272,6.965
TankLearning,0.564,2118.018,6.286,4087,-1.694
TankLearning,0.328,2121.654,3.273,2312,7.211
TankLearning,0.584,2128.706,6.392,4128,nan
TankLearning,0.307,2132.315,3.259,2272,7.081
TankLearning,0.582,2139.218,6.244,4128,nan
TankLearning,0.312,2142.939,3.362,2271,6.508
TankLearning,0.580,2149.979,6.387,4128,nan
TankLearning,0.311,2153.616,3.279,2272,7.825
TankLearning,0.588,2160.897,6.614,4120,0.331
TankLearning,0.311,2164.589,3.333,2279,6.303
TankLearning,0.586,2171.792,6.534,4128,nan
TankLearning,0.312,2175.432,3.288,2272,6.687
TankLearning,0.593,2182.420,6.309,4128,nan
TankLearning,0.318,2186.128,3.344,2272,6.759
TankLearning,0.584,2193.197,6.396,4128,nan
TankLearning,0.311,2196.862,3.306,2272,6.901
TankLearning,0.590,2203.962,6.442,4128,nan
TankLearning,0.310,2207.632,3.318,2272,7.263
TankLearning,0.579,2214.774,6.494,4128,nan
TankLearning,0.309,2218.471,3.345,2272,6.761
TankLearning,0.584,2225.631,6.500,4128,nan
TankLearning,0.312,2229.269,3.287,2272,7.208
TankLearning,0.584,2236.669,6.741,4128,nan
TankLearning,0.315,2240.327,3.299,2272,6.577
TankLearning,0.585,2247.400,6.410,4118,-0.991
TankLearning,0.313,2251.171,3.413,2280,5.975
TankLearning,0.592,2258.314,6.475,4128,nan
TankLearning,0.323,2261.984,3.303,2272,6.914
TankLearning,0.589,2269.233,6.586,4128,nan
TankLearning,0.314,2272.934,3.343,2272,7.783
TankLearning,0.588,2280.102,6.502,4128,nan
TankLearning,0.313,2283.786,3.329,2272,7.372
TankLearning,0.596,2291.120,6.675,4128,nan
TankLearning,0.314,2294.791,3.316,2272,7.067
TankLearning,0.583,2301.929,6.482,4128,nan
