Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TankLearning,0.840,1624.755,5.653,4128,nan
TankLearning,0.438,1628.642,3.410,2271,7.434
TankLearning,0.825,1635.201,5.677,4128,nan
TankLearning,0.443,1639.021,3.355,2272,7.026
TankLearning,0.826,1645.609,5.705,4128,nan
TankLearning,0.442,1649.483,3.396,2272,7.519
TankLearning,0.828,1656.066,5.700,4128,nan
TankLearning,0.436,1659.903,3.367,2272,7.415
TankLearning,0.840,1666.504,5.697,4128,nan
TankLearning,0.443,1670.366,3.391,2272,7.515
TankLearning,0.832,1676.981,5.724,4128,nan
TankLearning,0.437,1680.859,3.409,2272,7.697
TankLearning,0.828,1687.473,5.725,4128,nan
TankLearning,0.447,1691.382,3.423,2271,7.151
TankLearning,0.823,1697.960,5.686,4128,nan
TankLearning,0.437,1701.847,3.427,2272,7.147
TankLearning,0.823,1708.504,5.771,4128,nan
TankLearning,0.438,1712.429,3.455,2271,6.574
TankLearning,0.819,1719.022,5.715,4128,nan
TankLearning,0.444,1722.940,3.440,2272,7.297
TankLearning,0.827,1729.561,5.723,4128,nan
TankLearning,0.444,1733.546,3.517,2272,7.554
TankLearning,0.820,1741.036,6.612,4128,nan
TankLearning,0.446,1744.655,3.150,2272,7.770
TankLearning,0.828,1751.616,6.063,4128,nan
TankLearning,0.437,1755.294,3.214,2272,7.439
TankLearning,0.824,1762.231,6.058,4128,nan
TankLearning,0.447,1765.921,3.209,2272,7.548
TankLearning,0.826,1772.846,6.031,4128,nan
TankLearning,0.442,1776.586,3.265,2271,6.948
TankLearning,0.832,1783.540,6.059,4128,nan
TankLearning,0.437,1787.235,3.226,2272,7.356
TankLearning,0.823,1794.157,6.043,4128,nan
TankLearning,0.442,1797.904,3.279,2272,8.516
TankLearning,0.832,1804.885,6.084,4128,nan
TankLearning,0.445,1808.593,3.232,2272,7.290
TankLearning,0.822,1816.283,6.802,4128,nan
TankLearning,0.440,1819.988,3.229,2272,8.065
TankLearning,0.819,1826.928,6.062,4128,nan
TankLearning,0.438,1830.648,3.249,2272,7.725
TankLearning,0.825,1837.645,6.097,4128,nan
TankLearning,0.450,1841.392,3.263,2272,7.395
TankLearning,0.816,1848.358,6.095,4128,nan
TankLearning,0.440,1852.074,3.253,2272,7.390
TankLearning,0.828,1859.194,6.238,4128,nan
TankLearning,0.433,1862.976,3.314,2271,7.363
TankLearning,0.825,1870.039,6.179,4128,nan
TankLearning,0.442,1873.789,3.277,2272,7.738
TankLearning,0.816,1880.816,6.143,4128,nan
TankLearning,0.439,1884.540,3.254,2272,7.883
TankLearning,0.817,1891.651,6.231,4128,nan
TankLearning,0.442,1895.399,3.263,2272,7.622
TankLearning,0.828,1903.662,7.377,4128,nan
TankLearning,0.442,1907.395,3.262,2272,7.511
TankLearning,0.831,1914.443,6.153,4128,nan
TankLearning,0.444,1918.226,3.314,2271,7.041
TankLearning,0.827,1925.262,6.140,4128,nan
TankLearning,0.436,1928.948,3.218,2272,7.275
TankLearning,0.823,1936.006,6.178,4128,nan
TankLearning,0.438,1939.762,3.272,2272,7.549
TankLearning,0.870,1946.898,6.198,4128,nan
TankLearning,0.442,1950.867,3.483,2271,8.002
TankLearning,0.910,1958.484,6.651,4128,nan
TankLearning,0.443,1962.359,3.398,2272,7.897
TankLearning,0.829,1969.583,6.329,4128,nan
TankLearning,0.432,1973.365,3.311,2272,7.639
TankLearning,0.829,1980.514,6.266,4128,nan
TankLearning,0.437,1984.246,3.266,2272,7.769
TankLearning,0.827,1991.459,6.328,4128,nan
TankLearning,0.444,1995.248,3.309,2272,7.647
TankLearning,0.824,2002.412,6.272,4128,nan
TankLearning,0.439,2006.217,3.330,2271,6.970
TankLearning,0.832,2013.399,6.286,4128,nan
TankLearning,0.446,2017.176,3.296,2272,7.570
TankLearning,0.829,2024.424,6.355,4128,nan
TankLearning,0.452,2028.212,3.294,2272,8.264
TankLearning,0.829,2035.437,6.339,4128,nan
TankLearning,0.446,2039.234,3.314,2272,7.764
TankLearning,0.830,2046.770,6.643,4128,nan
TankLearning,0.441,2051.163,3.915,2271,7.935
TankLearning,0.857,2058.409,6.331,4128,nan
TankLearning,0.437,2062.127,3.233,2272,8.199
TankLearning,0.830,2069.308,6.280,4128,nan
TankLearning,0.440,2073.032,3.255,2272,8.387
TankLearning,0.822,2080.224,6.302,4128,nan
TankLearning,0.439,2084.024,3.328,2271,8.209
TankLearning,0.822,2091.296,6.395,4128,nan
TankLearning,0.522,2095.885,4.030,2272,7.331
TankLearning,0.823,2103.298,6.524,4128,nan
TankLearning,0.436,2107.060,3.300,2272,8.061
TankLearning,0.829,2114.274,6.325,4128,nan
TankLearning,0.440,2118.004,3.257,2272,7.280
TankLearning,0.822,2125.230,6.340,4128,nan
TankLearning,0.443,2129.020,3.308,2272,7.653
TankLearning,0.827,2136.268,6.363,4128,nan
TankLearning,0.437,2140.025,3.282,2272,7.463
TankLearning,0.820,2147.296,6.386,4128,nan
TankLearning,0.441,2151.122,3.355,2272,7.834
TankLearning,0.849,2158.378,6.353,4128,nan
TankLearning,0.438,2162.136,3.284,2272,7.457
TankLearning,0.832,2169.406,6.369,4128,nan
TankLearning,0.449,2173.164,3.267,2272,7.613
TankLearning,0.824,2180.397,6.352,4128,nan
TankLearning,0.436,2184.135,3.268,2272,7.749
TankLearning,0.825,2191.672,6.663,4128,nan
TankLearning,0.444,2195.440,3.289,2272,7.596
TankLearning,0.822,2202.780,6.455,4128,nan
TankLearning,0.438,2206.576,3.328,2272,7.336
TankLearning,0.819,2213.910,6.454,4128,nan
TankLearning,0.436,2217.690,3.312,2272,8.242
TankLearning,0.823,2224.967,6.388,4128,nan
TankLearning,0.433,2228.714,3.277,2272,8.120
TankLearning,0.822,2236.301,6.704,4128,nan
TankLearning,0.449,2240.088,3.305,2272,7.963
TankLearning,0.825,2247.467,6.494,4128,nan
TankLearning,0.446,2251.251,3.317,2272,7.659
TankLearning,0.818,2259.007,6.876,4128,nan
TankLearning,0.440,2262.781,3.304,2272,7.999
TankLearning,0.818,2270.118,6.449,4128,nan
TankLearning,0.431,2274.056,3.472,2272,7.513
TankLearning,0.815,2281.371,6.438,4128,nan
TankLearning,0.435,2285.216,3.372,2272,8.113
TankLearning,0.823,2292.613,6.528,4128,nan
TankLearning,0.441,2296.410,3.328,2272,7.291
TankLearning,0.812,2303.833,6.552,4128,nan
TankLearning,0.442,2307.727,3.419,2272,8.041
TankLearning,0.827,2315.182,6.566,4128,nan
TankLearning,0.446,2319.000,3.343,2272,7.875
TankLearning,0.833,2326.420,6.518,4128,nan
TankLearning,0.439,2330.243,3.353,2272,7.881
TankLearning,0.840,2337.680,6.529,4128,nan
TankLearning,0.445,2341.601,3.444,2272,7.383
TankLearning,0.814,2349.638,7.168,4128,nan
TankLearning,0.459,2353.633,3.501,2272,7.554
TankLearning,0.822,2361.288,6.763,4128,nan
TankLearning,0.443,2365.133,3.364,2272,7.601
TankLearning,0.824,2372.566,6.542,4128,nan
TankLearning,0.442,2376.393,3.351,2272,7.968
TankLearning,0.822,2383.849,6.565,4128,nan
TankLearning,0.445,2387.761,3.426,2272,7.744
TankLearning,0.825,2395.249,6.599,4128,nan
